"name","image_url","game_page_url","release_date","console","developer","publisher","l1","l2","l1_url","l2_url"
"'89 Dennou Kyuusei Uranai","","https://www.zophar.net/music/nintendo-nes-nsf/89-dennou-kyuusei-uranai","Dec 10th,1988","NES","Micronics","Jingukan","Download all files as MP3 (21 MB)","Download original music files (2 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/89-dennou-kyuusei-uranai/zamuvngz/%2789%20Dennou%20Kyuusei%20Uranai%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/89-dennou-kyuusei-uranai/%2789%20Dennou%20Kyuusei%20Uranai%20%28EMU%29.zophar.zip"
"10-Yard Fight","https://fi.zophar.net/soundcovers/nintendo-nes-nsf/thumbs_large/nes_10yardfight.jpg","https://www.zophar.net/music/nintendo-nes-nsf/10-yard-fight","Aug 30th,1985","NES","Irem","Irem","Download all files as MP3 (314 KB)","Download original music files (1 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/10-yard-fight/hcxvyaux/10-Yard%20Fight%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/10-yard-fight/10-Yard%20Fight%20%28EMU%29.zophar.zip"
"100-in-1-Contra Function 16","","https://www.zophar.net/music/nintendo-nes-nsf/100-in-1-contra-function-16","","NES","","","Download all files as MP3 (9 MB)","Download original music files (2 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/100-in-1-contra-function-16/mnkccojh/100-in-1-Contra%20Function%2016%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/100-in-1-contra-function-16/100-in-1-Contra%20Function%2016%20%28EMU%29.zophar.zip"
"10000000-in-1","","https://www.zophar.net/music/nintendo-nes-nsf/10000000-in-1","","NES","","","Download all files as MP3 (2 MB)","Download original music files (1 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/10000000-in-1/qgjamkiv/10000000-in-1%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/10000000-in-1/10000000-in-1%20%28EMU%29.zophar.zip"
"16 Mahjong","","https://www.zophar.net/music/nintendo-nes-nsf/16-mahjong","","NES","Sachen, Thin Chen","Sachen, Thin Chen","Download all files as MP3 (1 MB)","Download original music files ( B)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/16-mahjong/ymzkzzlj/16%20Mahjong%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/16-mahjong/16%20Mahjong%20%28EMU%29.zophar.zip"
"19 Neunzehn","","https://www.zophar.net/music/nintendo-nes-nsf/19-neunzehn","Mar 4th,1988","NES","Soft Pro","Soft Pro","Download all files as MP3 (17 MB)","Download original music files (5 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/19-neunzehn/gnawnhdm/19%20Neunzehn%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/19-neunzehn/19%20Neunzehn%20%28EMU%29.zophar.zip"
"1942","https://fi.zophar.net/soundcovers/nintendo-nes-nsf/thumbs_large/nes_1942.jpg","https://www.zophar.net/music/nintendo-nes-nsf/1942","Dec 11th,1985","NES","Micronics","Capcom","Download all files as MP3 (4 MB)","Download original music files (15 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/1942/wtlcfpbu/1942%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/1942/1942%20%28EMU%29.zophar.zip"
"1943 - The Battle of Midway","https://fi.zophar.net/soundcovers/nintendo-nes-nsf/thumbs_large/nes_1943.jpg","https://www.zophar.net/music/nintendo-nes-nsf/1943-the-battle-of-midway","Oct1988","NES","Capcom","Capcom","Download all files as MP3 (27 MB)","Download original music files (10 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/1943-the-battle-of-midway/fqtowgqm/1943%20-%20The%20Battle%20of%20Midway%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/1943-the-battle-of-midway/1943%20-%20The%20Battle%20of%20Midway%20%28EMU%29.zophar.zip"
"1991 Du Ma Racing","","https://www.zophar.net/music/nintendo-nes-nsf/1991-du-ma-racing","","NES","Super Mega Idea Tek","Super Mega Idea Tek","Download all files as MP3 (17 MB)","Download original music files (16 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/1991-du-ma-racing/ybpveuvt/1991%20Du%20Ma%20Racing%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/1991-du-ma-racing/1991%20Du%20Ma%20Racing%20%28EMU%29.zophar.zip"
"1999 Hore, Mitakotoka! Seikimatsu","","https://www.zophar.net/music/nintendo-nes-nsf/1999-hore-mitakotoka-seikimatsu","Sep 18th,1992","NES","Coconuts Japan","Coconuts Japan","Download all files as MP3 (60 MB)","Download original music files (17 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/1999-hore-mitakotoka-seikimatsu/qqhjrxjz/1999%20Hore%2C%20Mitakotoka%21%20Seikimatsu%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/1999-hore-mitakotoka-seikimatsu/1999%20Hore%2C%20Mitakotoka%21%20Seikimatsu%20%28EMU%29.zophar.zip"
"2in1 Cosmo Cop","","https://www.zophar.net/music/nintendo-nes-nsf/2in1-cosmo-cop","","NES","Sachen","Sachen","Download all files as MP3 (12 MB)","Download original music files (8 KB)","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/2in1-cosmo-cop/sghkzftv/2in1%20Cosmo%20Cop%20%28MP3%29.zophar.zip","https://fi.zophar.net/soundfiles/nintendo-nes-nsf/2in1-cosmo-cop/2in1%20Cosmo%20Cop%20%28EMU%29.zophar.zip"
