"GA_Id","Name","YE_Id","Filename","FileToRun","FilenameIndex","ScrnshotFilename","MU_Id","GE_Id","PU_Id","DI_Id","CR_Id","SidFilename","DateLastPlayed","TimesPlayed","CCode","HighScore","FA","SA","Fav","PR_Id","LA_Id","Extras","Classic","Rating","V_PalNTSC","V_Length","V_Trainers","PlayersFrom","PlayersTo","PlayersSim","Adult","MemoText","Prequel","Sequel","Related","Control","CRC","Filesize","Version","Gemus","V_LengthType","Comment","V_Comment","V_LoadingScreen","V_HighScoreSaver","V_IncludedDocs","V_TrueDriveEmu","AR_Id","DE_Id","LI_Id","RA_Id","WebLink_Name","WebLink_URL","V_WebLink_Name","V_WebLink_URL","V_TitleScreen","V_Playable","V_Original","CloneOf","ReviewRating"
"1","$100,000 Pyramid, The","28","0\100KPYRA_00001_01.zip","","0","0\The_$100,000_Pyramid.png","39","46","92","8","69","","","0","4","","0","0","0","17","2","1","0","0","1","1","0","1","4","0","0","","0","0","0","2","","0","1","","1","","","1","0","0","0","259","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=1","","","2","2","2","0","-1"
"2","10-Pin Bowling","24","0\10PINBOW_00002_01.zip","","0","0\10-Pin_Bowling.png","39","28","3459","8","21","","","0","4","","0","0","0","3025","2","0","0","0","3","80","0","1","4","0","0","","0","0","64","0","","0","1","","0","a.k.a. 'Bill Richie's 10-Pin Bowling'","","0","1","0","0","261","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=2","","","2","2","2","0","-1"
"3","10... Knockout!","25","0\10KNOCKO_00003_01.zip","","0","0\10..._Knockout!.png","3504","66","546","8","7","GAMES\0-9\10_Knockout_BASIC.sid","","0","4","","0","0","0","23","2","0","0","0","3","193","0","1","1","0","0","","0","0","0","0","","0","1","","0","","","0","0","0","0","1","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=3","","","2","2","2","0","-1"
"4","100 Meter Dash","39","0\100MDASH_00004_01.zip","","0","0\100_Meter_Dash.png","39","26","37","8","59","","","0","4","","0","0","0","1","2","0","0","0","1","7","0","2","2","1","0","","0","0","0","2","","0","1","","0","","","0","0","0","0","1","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=4","","","2","2","2","0","-1"
"5","100 Mile Race","26","0\100MILER_00005_01.zip","","0","0\100_Mile_Race.png","2008","109","2527","8","7","GAMES\0-9\100_Mile_Race.sid","","0","4","","0","0","0","894","2","0","0","0","3","50","0","1","1","0","0","","0","0","0","0","","0","1","","0","Commodore Microcomputers Magazine 1986/11-12, Loadstar #030","","0","0","1","0","3543","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=5","","","2","2","2","0","-1"
"6","1000 Miglia Volume I - 1927-1933","32","0\1000MIGL_00006_01.zip","","0","0\1000_Miglia_Volume_I_-_1927-1933.png","337","109","451","8","1928","MUSICIANS\P\Palmonari_Stefano\1000_Miglia.sid","","0","4","","0","0","0","510","14","1","0","0","1","518","0","1","1","0","0","","0","0","0","0","","0","1","vtde=yes ","0","","","1","0","0","0","44","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=6","","","2","2","2","0","-1"
"7","1000 Miles","4","0\1000MILE_00007_01.zip","","0","0\1000_Miles.png","39","190","37","8","7","","","0","4","","0","0","0","2758","2","0","0","0","3","88","0","1","1","0","0","","0","0","10083","0","","0","1","","0","","2 versions (original / improved with high-scores)","0","1","1","0","2","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=7","","","2","2","2","0","-1"
"8","10th Frame","26","0\10THFRAM_00008_01.zip","","0","0\10th_Frame.png","39","28","88","8","3","","","0","4","","0","0","0","275","2","1","0","0","3","142","0","1","8","0","0","Original version protection note: --------------------------------- The original disk came with a dongle that must be inserted in the tape drive port. On real hardware, if you have a datasette, you can just put in a tape and press play and it will pass the protection.  When using WinVICE just 'insert' a TAP image and 'start' the datasette motor to bypass the protection. The linked NIB file is the pure original version and the D64 has been patched to work without the dongle.","0","0","0","0","","0","1","","0","Commodore Format 1991/03 (Issue #06)","","1","0","1","0","262","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=8","","","2","2","2","0","-1"
"9","15 Pietnastka","34","0\15PIETNA_00009_01.zip","","0","0\15_Pietnastka.png","897","42","37","8","21","MUSICIANS\S\Skull\Hidden_Ninja.sid","","0","4","","0","0","0","4024","12","0","0","0","3","95","1","1","1","0","0","","0","0","0","0","","0","1","","0","","","1","0","0","0","263","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=9","","","2","2","2","0","-1"
"10","15 Solitaire","34","0\15SOLITA_00010_01.zip","","0","0\15_Solitaire.png","39","186","587","8","7","","","0","4","","0","0","0","1521","2","0","0","0","3","11","0","1","1","0","0","","0","0","0","0","","0","1","","0","COMPUTE!'s Gazette 1994/07","","0","0","0","0","2352","1","1","1","www.gb64.com","http://www.gb64.com/game.php?id=10","","","2","2","2","0","-1"
