Cyberun	ZX Spectrum Beeper	Ultimate	https://www.youtube.com/watch?v=ZnK2ooW1C1E	https://upload.wikimedia.org/wikipedia/en/b/b4/Cyberun_title.png	Cyberun is a 1986 sci-fi scrolling shooter video game developed for the Sinclair ZX Spectrum 48K home computer. It was ostensibly developed by the legendary studio Ultimate Play the Game and published by U.S. Gold. It stands out as one of the last major releases under the Ultimate label after the founders, Stamper brothers, sold the brand to focus on Rare (famously acquired by Microsoft in 2002 for $375M).
Push 64KB Amiga AGA Intro	Amiga AGA	Extreme	https://www.youtube.com/watch?v=8h5GjRjya9o	https://img.youtube.com/vi/8h5GjRjya9o/sddefault.jpg	Extreme - Push, 2nd at Assembly 1999 copy party. Recorded from real Amiga 1200 with Blizzard 1260/66MHz (thanks to Deadman for hardware support!)
DELTA PROJECT - 1. Good Morning Delta	Other	Sanja & Sloba	https://www.youtube.com/watch?v=o-5U4SsdawM	https://img.youtube.com/vi/o-5U4SsdawM/sddefault.jpg	"Δ Project" (Delta Project) is a highly acclaimed electronic instrumental album released in 1987 by Yugoslavian composers and producers Aleksandar "Sanja" Ilić and Slobodan "Sloba" Marković. Published by the prominent state record label PGP RTB, it stands as the bestselling instrumental album of all time across the former Yugoslavia. The project is a pioneering work of Balkan electronic music, heavily featuring synthesizer arrangements, drum machines, and keyboard work. Its sonic aesthetic blends ambient, downtempo synth-pop, and smooth easy-listening electronic textures, drawing frequent stylistic comparisons to iconic late-80s soundscapes like Jan Hammer's Miami Vice soundtrack. Both artists were deeply integrated into film, television, and pop production, utilizing this album to push contemporary electronic gear to its absolute limits in the region.
DELTA PROJECT - 2. Just Before Rock'n'Roll	Other	Sanja & Sloba	https://www.youtube.com/watch?v=UmsybyL76bk	https://img.youtube.com/vi/UmsybyL76bk/sddefault.jpg	"Δ Project" (Delta Project) is a highly acclaimed electronic instrumental album released in 1987 by Yugoslavian composers and producers Aleksandar "Sanja" Ilić and Slobodan "Sloba" Marković. Published by the prominent state record label PGP RTB, it stands as the bestselling instrumental album of all time across the former Yugoslavia. The project is a pioneering work of Balkan electronic music, heavily featuring synthesizer arrangements, drum machines, and keyboard work. Its sonic aesthetic blends ambient, downtempo synth-pop, and smooth easy-listening electronic textures, drawing frequent stylistic comparisons to iconic late-80s soundscapes like Jan Hammer's Miami Vice soundtrack. Both artists were deeply integrated into film, television, and pop production, utilizing this album to push contemporary electronic gear to its absolute limits in the region.
DELTA PROJECT - 3. Traffic	Other	Sanja & Sloba	https://www.youtube.com/watch?v=i_bUC91NHCI	https://img.youtube.com/vi/i_bUC91NHCI/sddefault.jpg	"Δ Project" (Delta Project) is a highly acclaimed electronic instrumental album released in 1987 by Yugoslavian composers and producers Aleksandar "Sanja" Ilić and Slobodan "Sloba" Marković. Published by the prominent state record label PGP RTB, it stands as the bestselling instrumental album of all time across the former Yugoslavia. The project is a pioneering work of Balkan electronic music, heavily featuring synthesizer arrangements, drum machines, and keyboard work. Its sonic aesthetic blends ambient, downtempo synth-pop, and smooth easy-listening electronic textures, drawing frequent stylistic comparisons to iconic late-80s soundscapes like Jan Hammer's Miami Vice soundtrack. Both artists were deeply integrated into film, television, and pop production, utilizing this album to push contemporary electronic gear to its absolute limits in the region.
DELTA PROJECT - 4. Right On Time	Other	Sanja & Sloba	https://www.youtube.com/watch?v=Trcka8VN6Tk	https://img.youtube.com/vi/Trcka8VN6Tk/sddefault.jpg	"Δ Project" (Delta Project) is a highly acclaimed electronic instrumental album released in 1987 by Yugoslavian composers and producers Aleksandar "Sanja" Ilić and Slobodan "Sloba" Marković. Published by the prominent state record label PGP RTB, it stands as the bestselling instrumental album of all time across the former Yugoslavia. The project is a pioneering work of Balkan electronic music, heavily featuring synthesizer arrangements, drum machines, and keyboard work. Its sonic aesthetic blends ambient, downtempo synth-pop, and smooth easy-listening electronic textures, drawing frequent stylistic comparisons to iconic late-80s soundscapes like Jan Hammer's Miami Vice soundtrack. Both artists were deeply integrated into film, television, and pop production, utilizing this album to push contemporary electronic gear to its absolute limits in the region.
DELTA PROJECT - 5. Scorpion's Death	Other	Sanja & Sloba	https://www.youtube.com/watch?v=imErRnQe1gg	https://img.youtube.com/vi/imErRnQe1gg/sddefault.jpg	"Δ Project" (Delta Project) is a highly acclaimed electronic instrumental album released in 1987 by Yugoslavian composers and producers Aleksandar "Sanja" Ilić and Slobodan "Sloba" Marković. Published by the prominent state record label PGP RTB, it stands as the bestselling instrumental album of all time across the former Yugoslavia. The project is a pioneering work of Balkan electronic music, heavily featuring synthesizer arrangements, drum machines, and keyboard work. Its sonic aesthetic blends ambient, downtempo synth-pop, and smooth easy-listening electronic textures, drawing frequent stylistic comparisons to iconic late-80s soundscapes like Jan Hammer's Miami Vice soundtrack. Both artists were deeply integrated into film, television, and pop production, utilizing this album to push contemporary electronic gear to its absolute limits in the region.
DELTA PROJECT - 6. Icon	Other	Sanja & Sloba	https://www.youtube.com/watch?v=rntS_p3goqQ	https://img.youtube.com/vi/rntS_p3goqQ/sddefault.jpg	"Δ Project" (Delta Project) is a highly acclaimed electronic instrumental album released in 1987 by Yugoslavian composers and producers Aleksandar "Sanja" Ilić and Slobodan "Sloba" Marković. Published by the prominent state record label PGP RTB, it stands as the bestselling instrumental album of all time across the former Yugoslavia. The project is a pioneering work of Balkan electronic music, heavily featuring synthesizer arrangements, drum machines, and keyboard work. Its sonic aesthetic blends ambient, downtempo synth-pop, and smooth easy-listening electronic textures, drawing frequent stylistic comparisons to iconic late-80s soundscapes like Jan Hammer's Miami Vice soundtrack. Both artists were deeply integrated into film, television, and pop production, utilizing this album to push contemporary electronic gear to its absolute limits in the region.
DELTA PROJECT - 7. Katana	Other	Sanja & Sloba	https://www.youtube.com/watch?v=LLivKEts35U	https://img.youtube.com/vi/LLivKEts35U/sddefault.jpg	"Δ Project" (Delta Project) is a highly acclaimed electronic instrumental album released in 1987 by Yugoslavian composers and producers Aleksandar "Sanja" Ilić and Slobodan "Sloba" Marković. Published by the prominent state record label PGP RTB, it stands as the bestselling instrumental album of all time across the former Yugoslavia. The project is a pioneering work of Balkan electronic music, heavily featuring synthesizer arrangements, drum machines, and keyboard work. Its sonic aesthetic blends ambient, downtempo synth-pop, and smooth easy-listening electronic textures, drawing frequent stylistic comparisons to iconic late-80s soundscapes like Jan Hammer's Miami Vice soundtrack. Both artists were deeply integrated into film, television, and pop production, utilizing this album to push contemporary electronic gear to its absolute limits in the region.
DELTA PROJECT - 8. Good Night Delta	Other	Sanja & Sloba	https://www.youtube.com/watch?v=y2eGmUPrdKU	https://img.youtube.com/vi/y2eGmUPrdKU/sddefault.jpg	"Δ Project" (Delta Project) is a highly acclaimed electronic instrumental album released in 1987 by Yugoslavian composers and producers Aleksandar "Sanja" Ilić and Slobodan "Sloba" Marković. Published by the prominent state record label PGP RTB, it stands as the bestselling instrumental album of all time across the former Yugoslavia. The project is a pioneering work of Balkan electronic music, heavily featuring synthesizer arrangements, drum machines, and keyboard work. Its sonic aesthetic blends ambient, downtempo synth-pop, and smooth easy-listening electronic textures, drawing frequent stylistic comparisons to iconic late-80s soundscapes like Jan Hammer's Miami Vice soundtrack. Both artists were deeply integrated into film, television, and pop production, utilizing this album to push contemporary electronic gear to its absolute limits in the region.
Atari Falcon ACE Tracker 2 - Introduction	Atari Falcon	Thomas	https://www.youtube.com/watch?v=ZiW2wmFe2qo	https://img.youtube.com/vi/ZiW2wmFe2qo/sddefault.jpg	Released at Sommarhack 2014 for ACE Tracker 2.00. ACE Tracker is a highly acclaimed, 16-bit music tracker and software synthesizer built specifically for the Atari Falcon 030 computer. Developed by Thomas of New Beat Productions, it is considered one of the most advanced sound engines ever produced for the Atari community. Unlike traditional trackers that rely almost entirely on replaying pre-recorded audio samples, ACE Tracker stands out because it leverages a powerful internal synthesis engine combined with tracker mechanics. The software heavily relies on the Falcon’s onboard Motorola 56001 Digital Signal Processor (DSP) chip to calculate its rich synth engines in real-time. It uses the same core sound engine as its sister software, ACE MIDI. This allows musicians to fuse synthesized waveforms with traditional sample playback. It includes synth-level structures like dual oscillators, sub-oscillators, resonant filters, ADSR envelopes, LFOs, and built-in effects such as reverb and delay. Because it generates synthesized waveforms natively via the DSP instead of just stretching samples, it is widely praised for its incredibly pure and crisp sound output compared to vanilla trackers.
